Name	Entsprechender .worldport Befehl
Camp Cosh	.worldport .0. .-6247.73. .-3776.6. .249.06. .0.
CampBoff	.worldport .0. .-7033.94. .-3669.89. .245.91. .0.
CampCagg	.worldport .0. .-7147.67. .-2430.87. .240.51. .0.
CampCosh	.worldport .0. .-6247.73. .-3776.6. .249.06. .0.
CampMojache	.worldport .1. .-4369.68. .242.294. .25.4133. .0.
CampNarache	.worldport .1. .-2893.04. .-240.87. .53.5445. .0.
CampTaurajo	.worldport .1. .-2388.95. .-1918.82. .96.7422. .0.
CampTaurajo	.worldport .1. .-2372.51. .-1991.64. .120.975. .0.
CathedralOfLight	.worldport .0. .-8561.54. .823.383. .106.519. .0.
CathedralSquare	.worldport .0. .-8624.12. .774.104. .96.6506. .0.
Cauldron	.worldport .0. .-6892.24. .-1342.38. .239.913. .0.
CavernsOfTime	.worldport .1. .-8195.94. .-4500.13. .8.60819. .0.
CenarionEnclave	.worldport .1. .10118.4. .2538.5. .1321.52. .0.
CenarionHold	.worldport .1. .-6824.15. .821.273. .49.6675. .4.8137.
ChampionHall	.worldport .449. .-0.199573. .-1.59112. .-0.255884. .0.
CharredVale	.worldport .1. .821.99. .1599.07. .-21.1896. .0.
ChillwindPoint	.worldport .0. .322.373. .-1487.85. .43.7201. .0.
Circle of East Binding	.worldport .0. .-842.604. .-3270.04. .78.3588. .0.
Circle of Outer Binding	.worldport .0. .-1354.4. .-2738.07. .58.9657. .0.
Circle of West Binding	.worldport .0. .-863.118. .-1784.72. .39.6118. .0.
CircleOfInnerBinding	.worldport .0. .-1529.75. .-2166.7. .17.3717. .0.
City of Ironforge	.worldport .0. .-4981.25. .-881.542. .501.66. .0.
CleftOfShadow	.worldport .1. .1805.41. .-4337.11. .-11.1877. .0.
Cliffspring River	.worldport .1. .6931.74. .-569.077. .44.8192. .0.
Cold Hearth Manor	.worldport .0. .2146.99. .658.485. .33.59. .0.
ColdridgeValley	.worldport .0. .-6229.25. .333.733. .383.206. .0.
Commons	.worldport .0. .-4920.61. .-955.967. .501.51. .0.
Cool Piece of Land	.worldport .0. .-9549.58. .-4939.88. .174.657. .0.
Cool Temple	.worldport .0. .3452.83. .-4992.61. .196.981. .0.
CorinsCrossing	.worldport .0. .2039.73. .-4511.63. .73.6218. .0.
CraftmensTerrace	.worldport .1. .10094.3. .2319.44. .1329.17. .0.
CragpoolLake	.worldport .1. .1618.33. .161.796. .133.084. .0.
Crossroads	.worldport .1. .-456.263. .-2652.7. .95.615. .0.
CrownGuardTower	.worldport .0. .1868.66. .-3678.97. .155.231. .0.
Crystal Lake	.worldport .0. .-9462.99. .-161.312. .60.7274. .0.
DabyriesFarmstead	.worldport .0. .-1065.89. .-2905.56. .42.0958. .0.
DaggerHills	.worldport .0. .-11275.5. .1448.2. .89.0785. .0.
Dalaran	.worldport .0. .258. .351. .41.9076. .0.
Dalaran Inside Dome	.worldport .0. .258. .351. .41.9076. .0.
Dalaran Ruins	.worldport .0. .386.938. .212.299. .43.6994. .0.
DalsonsTears	.worldport .0. .1855.13. .-1569.22. .59.1825. .0.
DandredsFold	.worldport .0. .1239.12. .-286.705. .42.4764. .0.
DarkcloudPinnacle	.worldport .1. .-5096.02. .-1945.14. .88.7375. .0.
DarkPortal	.worldport .0. .-11853.6. .-3197.44. .-27.2186. .0.
Darkshire	.worldport .0. .-10559.7. .-1189.02. .28.0698. .0.
Darkshore	.worldport .1. .6207.5. .-152.833. .79.8185. .0.
DarkwhisperGorge	.worldport .1. .5018.91. .-4563.94. .851.75. .0.
Darnassus	.worldport .1. .9948.55. .2413.59. .1327.23. .0.
Darnassus	.worldport .1. .8795.8. .969.427. .30.1955. .0.
DarrowHillsCorners	.worldport .0. .-434.575. .-587.045. .53.6605. .0.
Darrowmere Lake	.worldport .0. .1234.83. .-2118.49. .50.8011. .0.
DawningIsles	.worldport .0. .982.34. .201.239. .34.9509. .0.
Deadeye Shore	.worldport .1. .918.715. .-5115.69. .2.85835. .0.
DeadField	.worldport .0. .1035.91. .1540.85. .30.525. .0.
DeadFields	.worldport .0. .1058.11. .1554.68. .350. .0.
DeadmansCrossing	.worldport .0. .-10460.6. .-1717.5. .83.5969. .0.
Deadmines	.worldport .0. .-11156.8. .1528.99. .19.4102. .0.
Deadwind Pass	.worldport .0. .-10435.4. .-1809.28. .98.3851. .0.
Deathknell	.worldport .0. .1871.14. .1587.91. .91.2143. .0.
DeathknellNightWebHollow	.worldport .0. .2019.35. .1904.36. .105.144. .0.
DeepElemMine	.worldport .0. .374.222. .1083.9. .106.509. .0.
DeeprunTram	.worldport .369. .69.2542. .10.257. .-4.29664. .3.09832.
DeepwaterTavern	.worldport .0. .-3823.06. .-834.526. .18.2789. .0.
DemonFallCanyon	.worldport .1. .1798.75. .-3179.82. .92.0128. .0.
Den	.worldport .1. .-604.922. .-4156.99. .43.2112. .0.
DenOfFlame	.worldport .1. .-4336.82. .-3018.67. .33.1744. .0.
Desert Outpost Waterfall	.worldport .1. .10389. .-1886.06. .183.379. .0.
DesignerIsland	.worldport .451. .16303.5. .-16173.5. .40.4365. .0.
Desolace	.worldport .1. .-93.1614. .1691.15. .89.0649. .0.
Developer's Playground	.worldport .1. .-12352.9. .3055.12. .15.6725. .0.
DireforgeHill	.worldport .0. .-2833.45. .-2880.43. .32.8865. .0.
DireMaul	.worldport .429. .254.588. .-24.7395. .-2.56062. .0.
Dolanaar	.worldport .1. .9845.1. .967.633. .1306.74. .0.
Dolanaar	.worldport .1. .9823.3. .960.023. .1308.79. .0.257596.
Donalaar	.worldport .1. .9809.05. .959.188. .1315.35. .0.
DracoDar	.worldport .0. .-8222.08. .-1174.15. .142.557. .0.
Draenor Dark Portal	.worldport .0. .-14958.5. .12761.6. .36.0388. .0.
Drag	.worldport .1. .1860.46. .-4513.91. .23.657. .0.
DragonmawGarrison	.worldport .469. .-7621.59. .-1071.48. .408.49. .0.
DragonmawGates	.worldport .0. .-3465.16. .-3727.56. .64.5778. .0.
Dreadmaul Rock	.worldport .0. .-7924.68. .-2624.44. .220.958. .0.
DreadmaulHold	.worldport .0. .-10859. .-2663.38. .7.80049. .0.
DreadmaulPost	.worldport .0. .-11528.2. .-2863.73. .9.99248. .0.
DreadmaulRock	.worldport .0. .-7924.68. .-2624.44. .220.958. .0.
Dreadmurk Shore	.worldport .1. .-3012.72. .-4345.51. .6.83608. .0.
DreamBough	.worldport .1. .-2871.76. .1885.29. .52.6501. .0.
DunAlgaz	.worldport .0. .-4088.67. .-2663.71. .35.1151. .0.
DunBaldar	.worldport .30. .654.691. .-31.7338. .48.6277. .0.
DunBaldar	.worldport .30. .617.277. .-42.8341. .42.2891. .0.
DunBaldarPass	.worldport .30. .757.831. .-489.322. .95.8441. .0.
DunemaulCompound	.worldport .1. .-8492.54. .-3022.39. .9.37397. .0.
DunGarok	.worldport .0. .-1266.15. .-1198.95. .40.1765. .0.
DunModr	.worldport .0. .-2605.21. .-2341.09. .83.3551. .0.
DunMorogh	.worldport .0. .-5660.33. .755.299. .389.605. .0.
DurnholdeKeep	.worldport .0. .-489.832. .-1391.35. .53.3854. .0.
Durotar	.worldport .1. .341.42. .-4684.7. .30.9493. .0.
Duskwood	.worldport .0. .-10517. .-1158.39. .39.0542. .0.
DustfireValley	.worldport .0. .-6634.28. .-1876.38. .244.144. .0.
DustwallowMarsh	.worldport .1. .-3463.26. .-4123.13. .17.1043. .0.
Dwarf Outpost A	.worldport .0. .-5475.44. .-2425.32. .413.455. .0.
Dwarf Outpost B	.worldport .0. .-5231.95. .-2366.98. .398.807. .0.
DwarvenDistrict	.worldport .0. .-8434.69. .605.975. .94.9669. .0.
Eastern Strand	.worldport .0. .-1234.91. .-943.205. .8.62585. .0.
EastmoonRuins	.worldport .1. .-8867.71. .-3435.86. .13.3515. .0.
Eastvale Logging Camp	.worldport .0. .-9549. .-1407.04. .54.7673. .0.
EastvaleLoggingCamp	.worldport .0. .-9549. .-1407.04. .54.7673. .0.
EastwallTower	.worldport .0. .2545.24. .-4773.8. .107.254. .0.
Echo Isles	.worldport .1. .-1124.19. .-5535.02. .8.62076. .0.
EchoIsles	.worldport .1. .-1124.19. .-5535.02. .8.62076. .0.
ecrepitFairy	.worldport .0. .675.698. .974.873. .34.8849. .0.
ElderRise	.worldport .1. .-1056.81. .-239.942. .159.03. .0.
Elevation1	.worldport .1. .-1277.31. .118.811. .131.154. .0.
Elevation2	.worldport .1. .-1134.91. .32.5153. .143.355. .0.
Elevation3	.worldport .1. .-1207.55. .-64.4999. .157.538. .0.
ElwynnForest	.worldport .0. .-9465.58. .16.8472. .65.921. .0.
Emerald Forest Statue	.worldport .169. .3105.41. .3096.78. .27.0032. .0.
Emerald Forest Trees	.worldport .169. .2732.93. .-3319.63. .101.284. .0.
EmeraldSanctuary	.worldport .1. .3989.18. .-1292.13. .251.131. .0.
Everlook	.worldport .1. .6721.44. .-4659.09. .720.893. .0.
Excavatin Site	.worldport .0. .-6092.32. .-3214.55. .262.727. .0.
FakfarrenRiven	.worldport .1. .1669.74. .-1714.14. .97.9564. .0.
FaldinsCove	.worldport .0. .-2086.88. .-2074.57. .5.72927. .0.
Faldir's Cove	.worldport .0. .-2086.88. .-2074.57. .5.72927. .0.
Falfarren River	.worldport .1. .1669.74. .-1714.14. .97.9564. .0.
FalfarrenRiver	.worldport .1. .1979.07. .-1968.07. .99.1034. .0.
Fallow Sanctuary Murloc Outpost	.worldport .0. .-9980.38. .-3568.28. .22.0569. .0.
FallowSactionary	.worldport .0. .-9980.38. .-3568.28. .22.0569. .0.
FargodeepMine	.worldport .0. .-9811.76. .130.16. .6.86. .0.
FeathermoonStronghold	.worldport .1. .-4411.09. .3228.02. .12.1294. .0.
Felfire Hill	.worldport .1. .2114.86. .-2998.32. .111.396. .0.
FelfireHill	.worldport .1. .1992.85. .-2989.66. .107.111. .0.
Felstone Field	.worldport .0. .1782.26. .-1211.93. .59.4057. .0.
FelstoneField	.worldport .0. .1756.79. .-1200.15. .60.7352. .0.
Felwood	.worldport .1. .5483.9. .-749.881. .334.621. .0.
Fenris Isle	.worldport .0. .731.866. .727.793. .37.0975. .0.
Fenris Isle Fortress Ruins	.worldport .0. .960.45. .689.611. .59.7365. .0.
FenrisKeep	.worldport .0. .960.45. .689.611. .59.7365. .0.
Feralas	.worldport .1. .-2871.76. .1885.29. .52.6501. .0.
Feralas	.worldport .1. .-4458.93. .243.415. .64.6136. .0.
Feralas Coast	.worldport .1. .-4522.22. .2038.54. .50.1436. .0.
Feralas Island Night Elf City	.worldport .1. .-4358.88. .3241. .12.3636. .0.
Feralas Ruins	.worldport .1. .-2858.35. .2611.48. .58.3777. .0.
FieldOfGiants	.worldport .1. .-3120.86. .-2327.89. .93.1243. .0.
FieldofStrife	.worldport .30. .-187.386. .-293.948. .6.66753. .0.
FirePlumeRidge	.worldport .1. .-7171.68. .-1279.85. .-184.424. .0.
FirewatchRidge	.worldport .0. .-6646.51. .-829.166. .244.161. .0.
Flat Lands Place Weird	.worldport .0. .5333.04. .-4795.84. .0. .0.
Floating Bridge	.worldport .0. .-11988. .-1484.99. .78.9735. .0.
Floating Crystal Gates	.worldport .1. .-8185.09. .1528.22. .2.98973. .0.
FloatingCrystalGates	.worldport .1. .-8185.09. .1528.22. .2.98973. .0.
Forest's Edge	.worldport .0. .-9646.46. .679.589. .37.4136. .0.
ForestSong	.worldport .1. .2943.75. .-3304.34. .154.067. .0.
ForgottenCoast	.worldport .1. .-4508.92. .2041.68. .51.3872. .0.
ForgottenPools	.worldport .1. .90.1003. .-1943.44. .79.4727. .0.
ForlornCavern	.worldport .0. .-4637.04. .-1101.53. .501.281. .0.
ForstriderLodge	.worldport .0. .-5675.42. .-4244.87. .407.002. .0.
FrayIsland	.worldport .1. .-1679.3. .-4328.96. .2.58591. .0.
FreewindPost	.worldport .1. .-5437.4. .-2437.47. .89.3083. .0.
Freewood Post	.worldport .1. .-5437.4. .-2437.47. .89.3083. .0.
FrostfireHotSprings	.worldport .1. .6831.96. .-2494.93. .558.434. .0.
FrostmaneHold	.worldport .0. .-5584.21. .759.832. .384.29. .0.
FrostsaberRock	.worldport .1. .8070.18. .-3859.56. .688.782. .0.
FrostwishperGorge	.worldport .1. .5274.15. .-4712.21. .691.124. .0.
FrostWolfKeep	.worldport .30. .-1326.63. .-297.884. .90.536. .0.
FrostWolfVillage	.worldport .30. .-1201.05. .-366.444. .54.0976. .0.
Frostwyrm Lair	.worldport .533. .3498.27. .-5349.45. .144.967. .3.71577.
FungalRocks	.worldport .1. .-6401.51. .-1755.86. .-272.256. .0.
FungalVale	.worldport .0. .2448.25. .-3703.94. .179.083. .0.
Furlbrow's Pumpkin Patch	.worldport .0. .-9903.53. .1245.26. .42.0563. .0.
FurlbrowsPumpkinPatch	.worldport .0. .-9903.53. .1245.26. .42.0563. .0.
Gadgetzad	.worldport .1. .-7124.13. .-3818.93. .8.41075. .0.
Gadgetzan	.worldport .1. .-7154.86. .-3817.94. .8.39779. .0.
GahroronsWithering	.worldport .0. .1668.12. .-2282.56. .59.2221. .0.
Gahrron's Withering	.worldport .0. .1738.52. .-2319.93. .59.5751. .0.
GahrronsWithering	.worldport .0. .1738.52. .-2319.93. .59.5751. .0.
GanthersRetreat	.worldport .0. .2563.98. .-51.7975. .31.7441. .0.
GapingChasm	.worldport .1. .-9311.04. .-3945.9. .10.6628. .0.
Garren's Haunt	.worldport .0. .2861.67. .398.526. .21.1504. .0.
Gelkis Village	.worldport .1. .-2222.47. .2522.4. .68.4424. .0.
GelkisVillage	.worldport .1. .-2222.47. .2522.4. .68.4424. .0.
Ghost Walker Post	.worldport .1. .-1156.34. .1894.49. .86.2854. .0.
Giant Orc Statue	.worldport .0. .-8066.68. .-1621.66. .132.982. .0.
Giant World Tree	.worldport .0. .724.846. .-3996.11. .149.735. .0.
Gilijim's Isle	.worldport .0. .-13693.5. .2806.3. .56.6918. .0.
GM Island	.worldport .1. .16222.1. .16252.1. .12.5872. .0.
GM Isle	.worldport .1. .16222.1. .16252.1. .12.5872. .0.
GMIsland	.worldport .1. .16222.6. .16265.9. .13.2085. .0.
Gnarlpine Hold	.worldport .1. .9114.65. .1846.06. .1327.5. .0.
GnarlpineHold	.worldport .1. .9114.65. .1846.06. .1327.5. .0.
Gnomeregan	.worldport .0. .-5179.58. .660.421. .388.391. .0.
Gnomeregan	.worldport .0. .-5189.22. .524.796. .388.107. .0.
GnomereganTrainDepot	.worldport .0. .-4858.27. .756.435. .244.923. .0.
Go'Shek Farm	.worldport .0. .-1505.51. .-3030.52. .12.627. .0.
Goblin Obeservatory	.worldport .1. .-10082.2. .-5656.43. .6.24787. .0.
Gol'Bolar Quarry	.worldport .0. .-5826.35. .-1586.57. .364.269. .0.
GolakkaHotSprings	.worldport .1. .-7196.37. .-630.695. .-233.64. .0.
GolBolarQuarry	.worldport .0. .-5826.35. .-1586.57. .364.269. .0.
Goldshire	.worldport .0. .-9443.45. .59.8944. .56.0704. .0.
Goldshire	.worldport .0. .-9460.25. .63.0612. .55.8335. .0.
GoShekFarm	.worldport .0. .-1505.51. .-3030.52. .12.627. .0.
GreatForge	.worldport .0. .-4795.88. .-1113.26. .498.807. .0.
GreatLife	.worldport .1. .-4619.15. .-1850.91. .86.0563. .0.
Greatwood Vale	.worldport .1. .-87.9634. .-565.775. .-12.1339. .0.
GreatwoodVale	.worldport .1. .-87.9634. .-565.775. .-12.1339. .0.
GreenpawVillage	.worldport .1. .2265.59. .-1475.33. .90.8082. .0.
GreymaneWall	.worldport .0. .-757.376. .1527.28. .17.2465. .0.
GrimBatol	.worldport .0. .-4053.99. .-3450.62. .283.383. .0.
Grimeslit Dig Site	.worldport .0. .-6986.92. .-1705.54. .241.667. .0.
GrimeslitDigSite	.worldport .0. .-6986.92. .-1705.54. .241.667. .0.
GromGolBaseCamp	.worldport .0. .-12352.8. .211.452. .4.5846. .0.
GrommashHold	.worldport .1. .1926.92. .-4220.35. .40.9464. .0.
Grove of The Ancients	.worldport .1. .4995.94. .82.9197. .54.3857. .0.
GroveOfTheAncients	.worldport .1. .4995.94. .82.9197. .54.3857. .0.
Gunther's Retreat	.worldport .0. .2563.98. .-51.7975. .31.7441. .0.
GurubashiArena	.worldport .0. .-13152.9. .342.729. .52.1328. .0.
HallOfBlackhand	.worldport .229. .-78.5819. .-401.395. .38.9428. .0.
HallOfExplorers	.worldport .0. .-4697.59. .-1229.28. .501.659. .0.
HallOfLegends	.worldport .1. .1639.22. .-4238.83. .56.166. .0.
Hamertoe's Digsite	.worldport .0. .-6411.58. .-3409.85. .241.537. .0.
Hammerfall	.worldport .0. .-1020.82. .-3542.91. .56.4427. .0.
Hammerfall	.worldport .0. .-950.584. .-3533.13. .71.8318. .0.
HammertoesDigsite	.worldport .0. .-6411.58. .-3409.85. .241.537. .0.
Headland	.worldport .0. .15.1686. .-337.262. .130.995. .0.
Hearthglenn	.worldport .0. .2918.72. .-1439.39. .150.782. .0.
Helm's Bed Lake	.worldport .0. .-5607.39. .-1984.16. .396.373. .0.
HelmsBedLake	.worldport .0. .-5607.39. .-1984.16. .396.373. .0.
Hero's Vigil	.worldport .0. .-9136.28. .-1053.89. .70.624. .0.
HeroesVigil	.worldport .0. .-9136.28. .-1053.89. .70.624. .0.
HiddenGrove	.worldport .1. .7641.78. .-4935.77. .696.609. .0.
HiddenPath	.worldport .1. .-844.333. .-4217.06. .88.6684. .0.
Highperch	.worldport .1. .-5000.46. .-940.209. .-5.58816. .0.
Highperch	.worldport .1. .-5000.46. .-940.209. .-5.58816. .0.
Hillsbrad Fields Human Town	.worldport .0. .-501.505. .91.4121. .59.0582. .0.
HillsbradFields	.worldport .0. .-501.505. .91.4121. .59.0582. .0.
HillsbradFoothillInn	.worldport .0. .-852.854. .-576.712. .20.0293. .0.
HillsbradFootshill	.worldport .0. .-7.3559. .-936.734. .62.3336. .0.
Hinterlands	.worldport .0. .357.22. .-2106.09. .121.839. .0.
HiveAshi	.worldport .1. .-6543.32. .800.877. .2.60826. .0.
HiveRegal	.worldport .1. .-7681.92. .795.932. .-3.05396. .0.
HiveZora	.worldport .1. .-7250.49. .1472.88. .-3.97554. .0.
HunterRise	.worldport .1. .-1403.11. .-78.5278. .158.935. .0.
Hyjal	.worldport .1. .4674.88. .-3638.37. .965.264. .0.
Hyjal Cool Ancient Statue	.worldport .1. .4491.35. .-3201.77. .1026.57. .0.
Hyjal Plains Unifinished Location	.worldport .1. .5300.18. .-2292.83. .944.186. .0.
IcebloodGurrison	.worldport .30. .-476.417. .-196.086. .54.7934. .0.
Iceflow Lake	.worldport .0. .-5259.74. .107.593. .392.567. .0.
IceflowLake	.worldport .0. .-5090.17. .71.2283. .394.33. .0.
IcewingBunker	.worldport .30. .234.481. .-395.528. .43.2359. .0.
IcewingPass	.worldport .30. .439.548. .-300.347. .-41.58. .0.
IcewingPass	.worldport .30. .281.568. .46.1705. .19.1913. .0.
Inside Hyjal Cave	.worldport .1. .4858. .-1840. .1156. .0.
Ironband's Excavation Site	.worldport .0. .-5755.53. .-3998.42. .330.436. .0.
IronbandsExcavationSite	.worldport .0. .-5755.53. .-3998.42. .330.436. .0.
Ironbead's Tomb	.worldport .0. .-2849.21. .-2220.06. .31.3835. .0.
IronbeadsTomb	.worldport .0. .-2849.21. .-2220.06. .31.3835. .0.
Ironforge	.worldport .0. .-4981.25. .-881.542. .501.66. .0.
Ironforge	.worldport .0. .-4919.98. .-957.887. .501.504. .0.
Island of Doctor Lapidis	.worldport .0. .-12380.3. .3400.92. .48.865. .0.
IsleOfDread	.worldport .1. .-6498.47. .3011.38. .7.43054. .0.
Jaedenar	.worldport .1. .4878.32. .-614.219. .360.391. .0.
JagueroIsle	.worldport .0. .-14740.7. .-432.482. .4.00624. .0.
Janeiro's Point	.worldport .0. .-14178.2. .712.03. .29.1868. .0.
JasperlodeMine	.worldport .0. .-9077.34. .-552.93. .60.35. .0.
Jintha'Alor	.worldport .0. .-678.757. .-4018.61. .238.351. .0.
JinthaAlor	.worldport .0. .-678.757. .-4018.61. .238.351. .0.
Kalimdor	.worldport .1. .6744.98. .41.12. .47.6. .0.
Karazham	.worldport .0. .-11127.6. .-2042.98. .47.0752. .0.
Kargath	.worldport .0. .-6657.35. .-2157.1. .264.133. .0.
Kargath Orc Outpost	.worldport .0. .-6675.96. .-2188.29. .246.152. .0.
Kargathia Orc Outpost	.worldport .1. .2439.16. .-3500.08. .98.5954. .0.
KargathiaOrcOutpost	.worldport .1. .2439.16. .-3500.08. .98.5954. .0.
KargathOrcOutpost	.worldport .0. .-6675.96. .-2188.29. .246.152. .0.
Kharanos	.worldport .0. .-5582.32. .-463.982. .402. .0.
Kharanos	.worldport .0. .-5582.32. .-463.982. .402. .0.
Kodo Graveyard	.worldport .1. .-1305.19. .1837.56. .55.731. .0.
KodoGraveyard	.worldport .1. .-1305.19. .1837.56. .55.731. .0.
Kolkar Crag	.worldport .1. .-1028.63. .-4599.8. .25.5756. .0.
