| commands | 1 | Shows Commands |
| celldelete | d | !USE WITH CAUTION! '.celldelete YES' - Removes everything in current cell from game and database. '.celldelete YES YES' removes everything in a range of 1cell. |
| addrestxp | d | .addrestxp - Adds x rest XP to player. |
| generatename | d | .generatename - Generates name for pet, etc. |
| attackerinfo | d | .attackerinfo - Shows selected mob/player's attacker's infomation. |
| showattackers | d | .showattackers - Shows selected mob/player's attacker on the minimap. |
| aggrorange | d | .aggrorange - Shows aggro Range of the selected Creature. |
| knockback | d | .knockback <value> - Knocks you back. |
| fade | d | .fade <value> - calls ModThreatModifyer(). |
| threatMod | d | .threatMod <value> - calls ModGeneratedThreatModifyer(). |
| calcThreat | d | .calcThreat <dmg> <spellId> - calculates threat. |
| threatList | d | .threatList - returns all AI_Targets of the selected Creature. |
| gettptime | d | grabs transporter travel time |
| itempushresult | d | sends item push result |
| weather | d | No description. |
| setbit | d | No description. |
| setvalue | d | No description. |

---------------------------------------------------------------------------
-------------------------
waypoint
---------------------------------------------------------------------------
-------------------------
| add | w | Add wp at current pos |
| show | w | Show wp's for creature |
| hide | w | Hide wp's for creature |
| delete | w | Delete selected wp |
| movehere | w | Move to this wp |
| flags | w | Wp flags |
| waittime | w | Wait time at this wp |
| emote | w | Emote at this wp |
| skin | w | Skin at this wp |
| change | w | Change at this wp |
| info | w | Show info for wp |
| movetype | w | Movement type at wp |

---------------------------------------------------------------------------
-------------------------
gameobject
---------------------------------------------------------------------------
-------------------------
| select | o | Selects the nearest GameObject to you |
| delete | o | Deletes selected GameObject |
| spawn | o | Spawns a GameObject by ID |
| info | o | Gives you informations about selected GO |
| activate | o | Activates/Opens the selected GO. |
| enable | o | Enables the selected GO for use. |
| scale | o | Sets scale of selected GO |
| animprogress | o | Sets anim progress |
| export | o | Exports the current GO selected |

---------------------------------------------------------------------------
-------------------------
battleground
---------------------------------------------------------------------------
-------------------------
| setbgscore | e | <Teamid> <Score> - Sets battleground score. 2 Arguments. |
| startbg | e | Starts current battleground match. |
| pausebg | e | Pauses current battleground match. |
| bginfo | e | Displays information about current battleground. |
| battleground | e | Shows BG Menu |
| setworldstate | e | <var> <val> - Var can be in hex. WS Value. |
| playsound | e | <val>. Val can be in hex. |
| setbfstatus | e | .setbfstatus - NYI. |
| leave | e | Leaves the current battleground. |

---------------------------------------------------------------------------
-------------------------
npc
---------------------------------------------------------------------------
-------------------------
| vendoradditem | n | Adds to vendor |
| vendorremoveitem | n | Removes from vendor. |
| name | n | Changes creature name |
| subname | n | Changes creature subname |
| flags | n | Changes NPC flags |
| emote | n | .emote - Sets emote state |
| run | n | No description. |
| addweapon | n | No description. |
| allowmove | n | No description. |
| addgrave | n | No description. |
| addsh | n | No description. |
| addspirit | n | No description. |
| spawn | n | <entry> <flags> <faction> <level> <name> |
| spawnentry | n | <entry> |
| delete | n | Deletes mob from db and world. |
| info | n | Displays NPC information |
| guid | n | Shows selected object guid |
| addAgent | n | .npc addAgent <agent> <procEvent> <procChance> <procCount> <spellId> <spellType> <spelltargetType> <spellCooldown> <floatMisc1> <Misc2> |
| delAgent | n | .npc delAgent <procEvent> <spellId> |
| listAgent | n | .npc listAgent |
| reset | n | resets npc health/dmg from temp table. |
| export | n | Exports the npc to a sql file |
| say | n | .npc say <text> - Makes selected mob say text <text>. |
| yell | n | .npc yell <Text> - Makes selected mob yell text <text>. |
| come | n | .npc come - Makes npc move to your position |
| return | n | .npc return - Returns ncp to spawnpoint. |

---------------------------------------------------------------------------
-------------------------
cheat
---------------------------------------------------------------------------
-------------------------
| status | m | Shows active cheats. |
| taxi | m | Enables all taxi nodes. |
| cooldown | m | Enables no cooldown cheat. |
| casttime | m | Enables no cast time cheat. |
| power | m | Disables mana consumption etc. |
| god | m | Sets god mode, prevents you from taking damage. |
| fly | m | Sets fly mode |
| land | m | Unsets fly mode |
| explore | m | Reveals the unexplored parts of the map. |
| flyspeed | m | Modifies fly speed. |
| stack | m | Enables aura stacking cheat. |

---------------------------------------------------------------------------
-------------------------
honor
---------------------------------------------------------------------------
-------------------------
| getpvprank | m | Gets PVP Rank |
| setpvprank | m | Sets PVP Rank |
| addpoints | m | Adds x amount of honor points/currency |
| addkills | m | Adds x amount of honor kills |
| globaldailyupdate | m | Daily honor field moves |
| singledailyupdate | m | Daily honor field moves for selected player only |
| pvpcredit | m | Sends PVP credit packet, with specified rank and points |

---------------------------------------------------------------------------
-------------------------
pet
---------------------------------------------------------------------------
-------------------------
| createpet | m | Creates a pet with <entry>. |
| renamepet | m | Renames a pet to <name>. |
| enablerename | m | Enables pet rename. |
| addspell | m | Teaches pet <spell>. |
| removespell | m | Removes pet spell <spell>. |

---------------------------------------------------------------------------
-------------------------
recall
---------------------------------------------------------------------------
-------------------------
| list | q | List recall locations |
| port | q | Port to recalled location |
| add | q | Add recall location |
| del | q | Remove a recall location |

gefunden auf ps hp 
